,Unnamed: 0,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Res,ContractPush,LoyaltyPush
56,56,8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,[0.1514127552509308],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
57,57,5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,[0.11528599262237549],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
58,58,3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,[0.002081155776977539],"Low Risk, offer discount","Medium Term customer ,Offer 500 Loyalty Points"
59,59,5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,[0.10035958886146545],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
60,60,0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,[0.46264883875846863],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
61,61,1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,[0.3073616325855255],"High Risk,suggest Annual Plan","Long Term customer ,Offer 800 Loyalty Points"
62,62,0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,[0.0074269771575927734],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
63,63,0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,[0.040572136640548706],"Medium Risk, suggest Biannual Plan","Short Term customer ,Offer 100 Loyalty Points"
64,64,5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,[0.6640740036964417],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
65,65,5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,[0.3534500300884247],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
66,66,8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,[0.279233455657959],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
67,67,3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,[0.021959692239761353],"Low Risk, offer discount","Medium Term customer ,Offer 500 Loyalty Points"
68,68,3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,[0.0023238956928253174],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
69,69,7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,[0.3272440731525421],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
70,70,2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,[0.2648600935935974],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
71,71,0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,[0.01148030161857605],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
72,72,1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,[0.0664982795715332],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
73,73,8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,[0.0032935738563537598],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
74,74,5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,[0.2546881437301636],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
75,75,2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,[0.15693527460098267],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
76,76,6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,[0.10801535844802856],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
77,77,5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,[0.18900567293167114],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
78,78,0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,[0.3127621114253998],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
79,79,3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,[0.008268564939498901],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
80,80,5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,[0.7752715349197388],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
81,81,8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,[0.3975372016429901],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
82,82,9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,[0.6631779670715332],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
83,83,9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,[0.3550673723220825],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
84,84,0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,[0.005171865224838257],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
85,85,4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,[0.7445147633552551],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
86,86,4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,[0.07022210955619812],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
87,87,1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,[0.0024156570434570312],"Low Risk, offer discount","Medium Term customer ,Offer 500 Loyalty Points"
88,88,2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,[0.0018282830715179443],"Low Risk, offer discount","Medium Term customer ,Offer 500 Loyalty Points"
89,89,3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,[0.23320874571800232],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
90,90,4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,[0.28775644302368164],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
91,91,2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,[0.46496957540512085],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
92,92,7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,[0.00840875506401062],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
93,93,6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,[0.35137641429901123],"High Risk,suggest Annual Plan","Long Term customer ,Offer 800 Loyalty Points"
94,94,9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,[0.111479252576828],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
95,95,8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,[0.615347146987915],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
96,96,9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,[0.027811557054519653],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
97,97,0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,[0.22101467847824097],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
98,98,3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,[0.005881577730178833],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
99,99,4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,[0.5722019076347351],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
100,100,6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,[0.24563801288604736],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
101,101,3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,[0.1951615810394287],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
